,Classifier,Accuracy,Precision,Recall,F1,Class0 Recall,Class1 Recall,Class0 Precision,Class1 Precision,Class0 F1,Class1 F1,Macro F1,Macro Recall,Macro Precision,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment
0,SVM,0.8017241379310345,0.7777777777777778,0.8448275862068966,0.8099173553719008,0.7586206896551724,0.8448275862068966,0.8301886792452831,0.7777777777777778,0.7927927927927928,0.8099173553719008,0.8013550740823467,0.8017241379310345,0.8039832285115305,[8],[8],['FW'],['FW'],3
1,RandomForest,0.896551724137931,0.9107142857142857,0.8793103448275862,0.8947368421052632,0.9137931034482759,0.8793103448275862,0.8833333333333333,0.9107142857142857,0.8983050847457628,0.8947368421052632,0.8965209634255129,0.896551724137931,0.8970238095238094,[8],[8],['FW'],['FW'],3
2,KNN,0.8879310344827587,0.8947368421052632,0.8793103448275862,0.8869565217391304,0.896551724137931,0.8793103448275862,0.8813559322033898,0.8947368421052632,0.888888888888889,0.8869565217391304,0.8879227053140097,0.8879310344827587,0.8880463871543265,[8],[8],['FW'],['FW'],3
3,DecisionTree,0.8275862068965517,0.88,0.7586206896551724,0.8148148148148148,0.896551724137931,0.7586206896551724,0.7878787878787878,0.88,0.8387096774193549,0.8148148148148148,0.8267622461170848,0.8275862068965517,0.833939393939394,[8],[8],['FW'],['FW'],3
4,MLP,0.8275862068965517,0.8166666666666667,0.8448275862068966,0.8305084745762712,0.8103448275862069,0.8448275862068966,0.8392857142857143,0.8166666666666667,0.8245614035087718,0.8305084745762712,0.8275349390425215,0.8275862068965517,0.8279761904761904,[8],[8],['FW'],['FW'],3
0,SVM,0.473621103117506,0.5115787453548354,0.5235654767540953,0.41933703497528274,0.45391061452513964,0.5932203389830508,0.871313672922252,0.15184381778741865,0.5968778696051423,0.24179620034542312,0.41933703497528274,0.5235654767540953,0.5115787453548354,[8],[2],['FW'],['FW'],3
1,RandomForest,0.34652278177458035,0.5147126436781609,0.523861376763564,0.3355863921871871,0.276536312849162,0.7711864406779662,0.88,0.14942528735632185,0.4208289054197662,0.250343878954608,0.3355863921871871,0.523861376763564,0.5147126436781609,[8],[2],['FW'],['FW'],3
2,KNN,0.5323741007194245,0.4777012711864407,0.45515339456490866,0.42382092851879144,0.5628491620111732,0.3474576271186441,0.8395833333333333,0.11581920903954802,0.6739130434782609,0.17372881355932204,0.42382092851879144,0.45515339456490866,0.4777012711864407,[8],[2],['FW'],['FW'],3
3,DecisionTree,0.5347721822541966,0.5321946169772256,0.5662579301202537,0.4645636979773377,0.5223463687150838,0.6101694915254238,0.8904761904761904,0.17391304347826086,0.6584507042253521,0.2706766917293233,0.4645636979773377,0.5662579301202537,0.5321946169772256,[8],[2],['FW'],['FW'],3
4,MLP,0.5635491606714629,0.48457803970822666,0.46977085503266736,0.4413972796325737,0.6005586592178771,0.3389830508474576,0.8464566929133859,0.12269938650306748,0.7026143790849673,0.18018018018018017,0.4413972796325737,0.46977085503266736,0.48457803970822666,[8],[2],['FW'],['FW'],3
0,SVM,0.5677725118483412,0.5557151458437611,0.5592919397546647,0.553440811507244,0.5915915915915916,0.5269922879177378,0.6816608996539792,0.429769392033543,0.6334405144694535,0.47344110854503463,0.553440811507244,0.5592919397546647,0.5557151458437611,[8],[5],['FW'],['FW'],3
1,RandomForest,0.4909952606635071,0.46327014218009477,0.46212858102318255,0.4622297907239658,0.5720720720720721,0.35218508997429304,0.6018957345971564,0.3246445497630332,0.5866050808314088,0.3378545006165228,0.4622297907239658,0.46212858102318255,0.46327014218009477,[8],[5],['FW'],['FW'],3
2,KNN,0.5545023696682464,0.5263403907438667,0.5268629812331612,0.5263979308026163,0.6321321321321322,0.42159383033419023,0.651702786377709,0.40097799511002447,0.6417682926829268,0.41102756892230574,0.5263979308026163,0.5268629812331612,0.5263403907438667,[8],[5],['FW'],['FW'],3
3,DecisionTree,0.4369668246445498,0.44743526653254406,0.44392721770613797,0.4323641304347826,0.4174174174174174,0.4704370179948586,0.5743801652892562,0.3204903677758319,0.4834782608695652,0.3812500000000001,0.4323641304347826,0.44392721770613797,0.44743526653254406,[8],[5],['FW'],['FW'],3
4,MLP,0.5345971563981042,0.5200443366968068,0.5212545450334654,0.5176058207094105,0.5720720720720721,0.4704370179948586,0.6490630323679727,0.391025641025641,0.6081404628890662,0.4270711785297549,0.5176058207094105,0.5212545450334654,0.5200443366968068,[8],[5],['FW'],['FW'],3
0,SVM,0.4778481012658228,0.5112825236011973,0.510132340777502,0.4734131192243599,0.3279569892473118,0.6923076923076923,0.6039603960396039,0.4186046511627907,0.42508710801393723,0.5217391304347826,0.4734131192243599,0.510132340777502,0.5112825236011973,[8],[7],['FW'],['FW'],3
1,RandomForest,0.5102848101265823,0.48355983559835597,0.48441894127378,0.48247673210318237,0.6303763440860215,0.3384615384615385,0.5768757687576875,0.3902439024390244,0.6024405908798972,0.36251287332646753,0.48247673210318237,0.48441894127378,0.48355983559835597,[8],[7],['FW'],['FW'],3
