,Regressor,MSE,R2,MAE,TrainParticipants,FinetunedParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.02545041116961824,0.4375711096182364,0.12684467117079343,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]","[19, 21]",['FW'],['FW'],1,42
0,MLP,0.052314692493570396,0.004745859633772165,0.1858817005579076,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",['FW'],['FW'],1,42
0,MLP,0.03246266956443049,0.4333869653362785,0.14803574001075567,"[2, 5, 7, 8, 9, 11, 14, 15, 19, 20, 21, 23]","[18, 13]",['FW'],['FW'],1,42
0,MLP,0.053520115216474595,-0.026467294095515514,0.19022025881142798,"[2, 5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21]","[14, 23]",['FW'],['FW'],1,42
0,MLP,0.052314692493570396,0.004745859633772165,0.1858817005579076,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",['FW'],['FW'],1,42
0,MLP,0.05453829824299208,-0.21076270312453182,0.17272643366820017,"[3, 5, 6, 7, 8, 10, 20, 23, 25]","[12, 24]",['LW'],['LW'],3,42
0,MLP,0.08896141214805355,-0.1900192942498129,0.20519688341854267,"[3, 5, 6, 7, 10, 20, 23, 24, 25]","[12, 8]",['LW'],['LW'],3,42
0,MLP,0.1243981482964359,-0.3042927304748346,0.258625945124153,"[3, 6, 7, 8, 10, 20, 23, 24, 25]","[5, 12]",['LW'],['LW'],3,42
0,MLP,0.10779830958792141,-0.0652151823208651,0.22900176136013645,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[10, 7]",['LW'],['LW'],3,42
0,MLP,0.08896141214805355,-0.1900192942498129,0.20519688341854267,"[5, 6, 7, 10, 12, 20, 23, 24, 25]","[3, 8]",['LW'],['LW'],3,42
0,MLP,20.805371093419215,-0.0949148984651309,3.520455620095841,"[2, 5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 24]","[16, 20]",['RW'],['RW'],5,42
0,MLP,30.068094839586237,-0.06193175408612439,4.431917512245377,"[2, 5, 6, 9, 10, 11, 16, 17, 18, 19, 20, 24]","[13, 15]",['RW'],['RW'],5,42
0,MLP,26.912824811187605,-0.00011221727046217822,3.909808936951216,"[5, 6, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 9]",['RW'],['RW'],5,42
0,MLP,35.969292663437955,-0.12797538040514778,5.131656206840687,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 19, 20]","[24, 17]",['RW'],['RW'],5,42
0,MLP,34.90300238451188,-0.04319917184415156,4.9366741583777,"[2, 5, 6, 9, 10, 11, 15, 16, 17, 19, 20, 24]","[18, 13]",['RW'],['RW'],5,42
0,MLP,0.007171527390464448,0.3170943643997097,0.06047966701585644,"[3, 6, 9, 14, 16, 18, 19]",[24],['FP'],['FP'],2,42
