,Regressor,MSE,R2,MAE,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState
0,MLP,0.04662316914128381,0.1348830476829992,0.17739036285325685,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 20, 23]","[19, 21]",FW,FW,1,42
0,MLP,0.05000998023098297,0.08954715034417982,0.1835841231185286,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",FW,FW,1,42
0,MLP,0.04822649763416103,0.11931276879559094,0.17921393566351065,"[2, 5, 7, 8, 9, 11, 14, 15, 19, 20, 21, 23]","[18, 13]",FW,FW,1,42
0,MLP,0.04929340735140473,0.10364552901776902,0.18216642902103292,"[2, 5, 7, 8, 9, 11, 13, 15, 18, 19, 20, 21]","[14, 23]",FW,FW,1,42
0,MLP,0.05000998023098297,0.08954715034417982,0.1835841231185286,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 21, 23]","[19, 20]",FW,FW,1,42
0,MLP,0.0596511124971622,0.16460811026662692,0.17855697625948952,"[3, 5, 7, 8, 10, 12, 20, 23, 25]","[24, 6]",LW,LW,3,42
0,MLP,0.05632843747957123,0.20607192193997748,0.16811948501326052,"[3, 5, 6, 7, 8, 10, 20, 23, 25]","[12, 24]",LW,LW,3,42
0,MLP,0.06265901328257865,0.09694088442285365,0.1791147301034855,"[3, 5, 6, 7, 10, 20, 23, 24, 25]","[12, 8]",LW,LW,3,42
0,MLP,0.06116638055235291,0.10887361790149774,0.17225700231480098,"[3, 6, 7, 8, 10, 20, 23, 24, 25]","[5, 12]",LW,LW,3,42
0,MLP,0.06120676298016724,0.1720672427089247,0.17305905097442906,"[3, 5, 6, 8, 12, 20, 23, 24, 25]","[10, 7]",LW,LW,3,42
0,MLP,0.06265901328257865,0.09694088442285365,0.1791147301034855,"[5, 6, 7, 10, 12, 20, 23, 24, 25]","[3, 8]",LW,LW,3,42
0,MLP,23.24133434859188,0.27599315651843837,3.8660994718051755,"[2, 5, 6, 9, 10, 11, 13, 15, 17, 18, 19, 24]","[16, 20]",RW,RW,5,42
0,MLP,23.708557591839824,0.2571189316982805,3.909269030670487,"[2, 5, 6, 9, 10, 11, 16, 17, 18, 19, 20, 24]","[13, 15]",RW,RW,5,42
0,MLP,25.148626266526584,0.21899064282890945,3.9877245324465984,"[5, 6, 10, 11, 13, 15, 16, 17, 18, 19, 20, 24]","[2, 9]",RW,RW,5,42
0,MLP,25.07079821122341,0.18698421732110215,4.103765691681725,"[2, 5, 6, 9, 10, 11, 13, 15, 16, 18, 19, 20]","[24, 17]",RW,RW,5,42
0,MLP,23.4387051007842,0.26981068940823694,3.887504274848026,"[2, 5, 6, 9, 10, 11, 15, 16, 17, 19, 20, 24]","[18, 13]",RW,RW,5,42
