Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.3508771929824561,0.47619047619047616,0.2777777777777778,0.9523809523809523,0.0,,0.5555555555555556,0.0,,0.7017543859649122,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.4620689655172414,0.5190217391304348,0.55,0.9130434782608695,0.125,,0.6,0.5,,0.7241379310344828,0.2,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.36486486486486486,0.5,0.2872340425531915,1.0,0.0,,0.574468085106383,0.0,,0.7297297297297297,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.46375372393247266,0.5588235294117647,0.7794117647058824,1.0,0.11764705882352941,,0.5588235294117647,1.0,,0.7169811320754716,0.21052631578947367,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.45207033465683494,0.47411764705882353,0.4735576923076923,0.36,0.5882352941176471,,0.5625,0.38461538461538464,,0.43902439024390244,0.46511627906976744,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.37254901960784315,0.5,0.296875,1.0,0.0,,0.59375,0.0,,0.7450980392156863,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.07894736842105263,0.5,0.04285714285714286,0.0,1.0,,0.0,0.08571428571428572,,0.0,0.15789473684210525,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.2987012987012987,0.48484848484848486,0.4945454545454545,0.30303030303030304,0.6666666666666666,,0.9090909090909091,0.08,,0.45454545454545453,0.14285714285714285,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.632183908045977,0.7,0.6071428571428572,0.9,0.5,,0.9642857142857143,0.25,,0.9310344827586207,0.3333333333333333,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.2597402597402597,0.27717391304347827,0.37941176470588234,0.30434782608695654,0.25,,0.7,0.058823529411764705,,0.42424242424242425,0.09523809523809523,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.45,0.46551724137931033,0.43548387096774194,0.9310344827586207,0.0,,0.8709677419354839,0.0,,0.9,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.6736842105263158,0.625,0.95,1.0,0.25,,0.9,1.0,,0.9473684210526315,0.4,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",20,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.2484526967285588,0.44623655913978494,0.47596153846153844,0.22580645161290322,0.6666666666666666,,0.875,0.07692307692307693,,0.358974358974359,0.13793103448275862,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",21,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.46551724137931033,0.5,0.43548387096774194,1.0,0.0,,0.8709677419354839,0.0,,0.9310344827586207,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",23,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.3531468531468532,0.5238095238095238,0.7222222222222222,0.047619047619047616,1.0,,1.0,0.4444444444444444,,0.09090909090909091,0.6153846153846154,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.5535353535353535,0.5543478260869565,0.553475935828877,0.6086956521739131,0.5,,0.6363636363636364,0.47058823529411764,,0.6222222222222222,0.48484848484848486,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.5457892314772204,0.5462962962962963,0.5457875457875458,0.5925925925925926,0.5,,0.6153846153846154,0.47619047619047616,,0.6037735849056604,0.4878048780487805,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.32075471698113206,0.5,0.2361111111111111,0.0,1.0,,0.0,0.4722222222222222,,0.0,0.6415094339622641,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.373134328358209,0.5,0.2976190476190476,1.0,0.0,,0.5952380952380952,0.0,,0.746268656716418,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.4909862142099682,0.6052631578947368,0.7321428571428572,0.21052631578947367,1.0,,1.0,0.4642857142857143,,0.34782608695652173,0.6341463414634146,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.11428571428571428,0.3645833333333333,0.3645833333333333,0.0625,0.6666666666666666,,0.6666666666666666,0.0625,,0.11428571428571428,0.11428571428571428,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.4782608695652174,0.5,0.4583333333333333,1.0,0.0,,0.9166666666666666,0.0,,0.9565217391304348,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.5060034305317325,0.6166666666666667,0.533816425120773,0.7333333333333333,0.5,,0.9565217391304348,0.1111111111111111,,0.8301886792452831,0.18181818181818182,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.4489795918367347,0.4782608695652174,0.4230769230769231,0.9565217391304348,0.0,,0.8461538461538461,0.0,,0.8979591836734694,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.505,0.5775862068965517,0.5357142857142857,0.6551724137931034,0.5,,0.9047619047619048,0.16666666666666666,,0.76,0.25,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,12,6.5,8,64,0.001,,20
