Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.4886363636363636,0.5475113122171946,0.6296296296296295,0.9411764705882353,,0.15384615384615385,0.5925925925925926,,0.6666666666666666,0.7272727272727272,,0.25,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.33571428571428574,0.5263157894736842,0.7,0.05263157894736842,,1.0,1.0,,0.4,0.1,,0.5714285714285715,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.20126984126984127,0.2443181818181818,0.25213675213675213,0.045454545454545456,0.0,0.6875,0.3333333333333333,0.0,0.4230769230769231,0.08,0.0,0.5238095238095238,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.20833333333333337,0.2380952380952381,0.1851851851851852,0.0,0.0,0.7142857142857143,0.0,0.0,0.5555555555555556,0.0,0.0,0.6250000000000001,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.05333333333333334,0.031746031746031744,0.16666666666666666,0.09523809523809523,0.0,0.0,0.5,0.0,0.0,0.16,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.36585365853658536,0.5,0.28846153846153844,1.0,,0.0,0.5769230769230769,,0.0,0.7317073170731707,,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.044444444444444446,0.3333333333333333,0.023809523809523808,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.13333333333333333,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.022988505747126433,0.3333333333333333,0.011904761904761904,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0689655172413793,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.3660130718954248,0.40740740740740744,0.3541666666666667,0.7222222222222222,0.5,0.0,0.8125,0.25,0.0,0.7647058823529411,0.3333333333333333,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.23333333333333336,0.21212121212121213,0.25925925925925924,0.6363636363636364,0.0,0.0,0.7777777777777778,0.0,0.0,0.7000000000000001,0.0,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.05128205128205129,0.3333333333333333,0.027777777777777776,0.0,0.0,1.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.15384615384615385,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",20,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.023809523809523808,0.3333333333333333,0.012345679012345678,0.0,1.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.07142857142857142,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",21,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.1388888888888889,0.6666666666666666,0.07792207792207792,0.0,1.0,1.0,0.0,0.14285714285714285,0.09090909090909091,0.0,0.25,0.16666666666666669,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",23,FW,FW,1,42,7.0,10,64,0.001,,13
