Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.8008506925509871,0.8012048192771084,0.8033625730994152,0.7590361445783133,0.8433734939759037,,0.8289473684210527,0.7777777777777778,,0.7924528301886793,0.8092485549132948,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.8067801542266841,0.8072289156626506,0.8101098901098901,0.7590361445783133,0.8554216867469879,,0.84,0.7802197802197802,,0.7974683544303798,0.8160919540229885,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.7709513435003631,0.7710843373493976,0.7717154081187254,0.7469879518072289,0.7951807228915663,,0.7848101265822784,0.7586206896551724,,0.7654320987654321,0.7764705882352941,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.7770356118633608,0.7771084337349398,0.7774709302325582,0.7590361445783133,0.7951807228915663,,0.7875,0.7674418604651163,,0.7730061349693251,0.7810650887573964,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.8192771084337349,0.8192771084337349,0.8192771084337349,0.8192771084337349,0.8192771084337349,,0.8192771084337349,0.8192771084337349,,0.8192771084337349,0.8192771084337349,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,100,6.5,8,64,0.001,,20
CNN,0.7335473515248796,0.7349397590361446,0.7399555226093402,0.6626506024096386,0.8072289156626506,,0.7746478873239436,0.7052631578947368,,0.7142857142857143,0.7528089887640449,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,52,6.5,8,64,0.001,,20
CNN,0.7404356435643564,0.7424812030075187,0.7529411764705882,0.6428571428571429,0.8421052631578947,,0.8,0.7058823529411765,,0.7128712871287128,0.768,,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,12,6.0,10,64,0.001,,10
CNN,0.6716406188643682,0.6721491228070176,0.6737824161922834,0.7192982456140351,0.625,,0.6612903225806451,0.6862745098039216,,0.6890756302521008,0.6542056074766355,,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,42,6.0,10,64,0.001,,10
CNN,0.672566371681416,0.6726190476190477,0.6726190476190477,0.6666666666666666,0.6785714285714286,,0.6785714285714286,0.6666666666666666,,0.672566371681416,0.672566371681416,,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,100,6.0,10,64,0.001,,10
CNN,0.7404356435643564,0.7424812030075187,0.7529411764705882,0.6428571428571429,0.8421052631578947,,0.8,0.7058823529411765,,0.7128712871287128,0.768,,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,12,6.0,10,64,0.001,,10
CNN,0.6280564263322884,0.6286027568922306,0.6290880503144654,0.6607142857142857,0.5964912280701754,,0.6166666666666667,0.6415094339622641,,0.6379310344827587,0.6181818181818182,,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,32,6.0,10,64,0.001,,10
