Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.38932146829810904,0.4971287940935193,0.48205128205128206,0.9565217391304348,0.03773584905660377,,0.5641025641025641,0.4,,0.7096774193548387,0.06896551724137931,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.4055299539170507,0.49444444444444446,0.4767561983471074,0.9333333333333333,0.05555555555555555,,0.5785123966942148,0.375,,0.7142857142857143,0.0967741935483871,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.3673469387755102,0.5,0.2903225806451613,1.0,0.0,,0.5806451612903226,0.0,,0.7346938775510204,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.38559639909977494,0.4880952380952381,0.45355504587155965,0.9206349206349206,0.05555555555555555,,0.5321100917431193,0.375,,0.6744186046511628,0.0967741935483871,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.48177299088649544,0.5021394950791613,0.5021786492374727,0.3902439024390244,0.6140350877192983,,0.5925925925925926,0.4117647058823529,,0.47058823529411764,0.49295774647887325,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.3764705882352941,0.5,0.3018867924528302,1.0,0.0,,0.6037735849056604,0.0,,0.7529411764705882,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.0873015873015873,0.5,0.04782608695652174,0.0,1.0,,0.0,0.09565217391304348,,0.0,0.1746031746031746,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.3314285714285714,0.4566895368782161,0.4842777085927771,0.36792452830188677,0.5454545454545454,,0.8863636363636364,0.0821917808219178,,0.52,0.14285714285714285,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.48732852824924433,0.5025252525252525,0.5010026737967914,0.8383838383838383,0.16666666666666666,,0.9431818181818182,0.058823529411764705,,0.8877005347593583,0.08695652173913043,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.2701058201058201,0.316017316017316,0.40545050055617354,0.2987012987012987,0.3333333333333333,,0.7419354838709677,0.06896551724137931,,0.42592592592592593,0.11428571428571428,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.457286432160804,0.4789473684210526,0.4375,0.9578947368421052,0.0,,0.875,0.0,,0.914572864321608,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.5642795513373597,0.5552434456928839,0.5896656534954408,0.9438202247191011,0.16666666666666666,,0.8936170212765957,0.2857142857142857,,0.9180327868852459,0.21052631578947367,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",20,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.27374209964704915,0.47745098039215683,0.4904445367677607,0.2549019607843137,0.7,,0.896551724137931,0.08433734939759036,,0.3969465648854962,0.15053763440860216,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",21,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.4631578947368421,0.5,0.43137254901960786,1.0,0.0,,0.8627450980392157,0.0,,0.9263157894736842,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",23,FW,FW,1,42,6.5,8,64,0.001,,20
CNN,0.3188834154351396,0.5072463768115942,0.71900826446281,0.014492753623188406,1.0,,1.0,0.4380165289256198,,0.02857142857142857,0.6091954022988506,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.5442251461988303,0.5459259259259259,0.5449275362318841,0.5733333333333334,0.5185185185185185,,0.6231884057971014,0.4666666666666667,,0.5972222222222222,0.49122807017543857,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.5021200051394064,0.5021367521367521,0.5021462912087913,0.5888888888888889,0.4153846153846154,,0.5824175824175825,0.421875,,0.585635359116022,0.4186046511627907,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.3157894736842105,0.5,0.23076923076923078,0.0,1.0,,0.0,0.46153846153846156,,0.0,0.631578947368421,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.37104072398190047,0.5,0.2949640287769784,1.0,0.0,,0.5899280575539568,0.0,,0.7420814479638009,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.35007299270072995,0.48735119047619047,0.46746411483253586,0.09375,0.8809523809523809,,0.5454545454545454,0.3894736842105263,,0.16,0.5401459854014599,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.17366311171620907,0.4619755244755245,0.4671945701357466,0.10576923076923077,0.8181818181818182,,0.8461538461538461,0.08823529411764706,,0.18803418803418803,0.1592920353982301,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.47533632286995514,0.5,0.452991452991453,1.0,0.0,,0.905982905982906,0.0,,0.9506726457399103,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.44321124676285606,0.6262626262626263,0.5277777777777778,0.5858585858585859,0.6666666666666666,,0.9666666666666667,0.08888888888888889,,0.7295597484276729,0.1568627450980392,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.4539877300613497,0.4805194805194805,0.43023255813953487,0.961038961038961,0.0,,0.8604651162790697,0.0,,0.9079754601226994,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.4862579281183932,0.5117408906882591,0.5060745705906996,0.7157894736842105,0.3076923076923077,,0.8831168831168831,0.12903225806451613,,0.7906976744186046,0.18181818181818182,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.10619469026548672,0.5,0.0594059405940594,0.0,1.0,,0.0,0.1188118811881188,,0.0,0.21238938053097345,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",20,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.4766355140186916,0.5,0.45535714285714285,1.0,0.0,,0.9107142857142857,0.0,,0.9532710280373832,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",21,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.13297508549096237,0.5056818181818182,0.5693069306930694,0.011363636363636364,1.0,,1.0,0.13861386138613863,,0.02247191011235955,0.24347826086956523,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",23,FW,FW,1,12,6.5,8,64,0.001,,20
CNN,0.46783909160146786,0.46910035548263607,0.4681869369369369,0.5797101449275363,0.3584905660377358,,0.5405405405405406,0.3958333333333333,,0.5594405594405595,0.37623762376237624,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.5170289855072464,0.5451851851851852,0.5484126984126985,0.38666666666666666,0.7037037037037037,,0.6444444444444445,0.4523809523809524,,0.48333333333333334,0.5507246376811594,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.44972514887769127,0.5294871794871795,0.6312785388127854,0.9666666666666667,0.09230769230769231,,0.5958904109589042,0.6666666666666666,,0.7372881355932204,0.16216216216216217,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.4877717391304348,0.4933862433862434,0.4928571428571429,0.6349206349206349,0.35185185185185186,,0.5333333333333333,0.4523809523809524,,0.5797101449275363,0.3958333333333333,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.37104072398190047,0.5,0.2949640287769784,1.0,0.0,,0.5899280575539568,0.0,,0.7420814479638009,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.3727810650887574,0.4921875,0.3,0.984375,0.0,,0.6,0.0,,0.7455621301775148,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.0873015873015873,0.5,0.04782608695652174,0.0,1.0,,0.0,0.09565217391304348,,0.0,0.1746031746031746,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.31082062454611475,0.3704974271012007,0.4541033434650456,0.37735849056603776,0.36363636363636365,,0.851063829787234,0.05714285714285714,,0.5228758169934641,0.09876543209876543,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.08563134978229318,0.4368686868686869,0.42500000000000004,0.04040404040404041,0.8333333333333334,,0.8,0.05,,0.07692307692307693,0.09433962264150944,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.46060606060606063,0.4935064935064935,0.4318181818181818,0.987012987012987,0.0,,0.8636363636363636,0.0,,0.9212121212121213,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.12986225418002253,0.5105263157894737,0.5613207547169812,0.021052631578947368,1.0,,1.0,0.12264150943396226,,0.041237113402061855,0.2184873949579832,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.43575418994413406,0.43820224719101125,0.43333333333333335,0.8764044943820225,0.0,,0.8666666666666667,0.0,,0.8715083798882681,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",20,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.08196721311475409,0.5,0.044642857142857144,0.0,1.0,,0.0,0.08928571428571429,,0.0,0.16393442622950818,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",21,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.43080357142857145,0.5056818181818181,0.5026923076923078,0.5113636363636364,0.5,,0.8653846153846154,0.14,,0.6428571428571429,0.21875,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",23,FW,FW,1,22,6.5,8,64,0.001,,20
CNN,0.3612565445026178,0.5,0.2827868852459016,1.0,0.0,,0.5655737704918032,0.0,,0.7225130890052356,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.29508196721311475,0.5,0.20930232558139536,0.0,1.0,,0.0,0.4186046511627907,,0.0,0.5901639344262295,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.452020202020202,0.4935897435897436,0.48846153846153845,0.8333333333333334,0.15384615384615385,,0.5769230769230769,0.4,,0.6818181818181818,0.2222222222222222,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.3157894736842105,0.5,0.23076923076923078,0.0,1.0,,0.0,0.46153846153846156,,0.0,0.631578947368421,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.37104072398190047,0.5,0.2949640287769784,1.0,0.0,,0.5899280575539568,0.0,,0.7420814479638009,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.3727810650887574,0.4921875,0.3,0.984375,0.0,,0.6,0.0,,0.7455621301775148,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.48390243902439023,0.48295454545454547,0.4862093352192362,0.875,0.09090909090909091,,0.900990099009901,0.07142857142857142,,0.8878048780487805,0.08,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.3162337662337662,0.3752144082332762,0.45606884057971014,0.3867924528301887,0.36363636363636365,,0.8541666666666666,0.057971014492753624,,0.5324675324675324,0.1,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.4852941176470588,0.5,0.4714285714285714,1.0,0.0,,0.9428571428571428,0.0,,0.9705882352941176,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.463855421686747,0.5,0.43258426966292135,1.0,0.0,,0.8651685393258427,0.0,,0.927710843373494,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,32,6.5,8,64,0.001,,20
CNN,0.46798029556650245,0.5,0.4398148148148148,1.0,0.0,,0.8796296296296297,0.0,,0.9359605911330049,0.0,,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,32,6.5,8,64,0.001,,20
