Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.5329311211664153,0.5238095238095238,0.5666666666666668,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.4,0.8,0.5,0.47058823529411764,0.6666666666666666,0.4615384615384615,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.6984848484848484,0.7142857142857143,0.7222222222222222,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.75,0.75,0.6666666666666666,0.5454545454545454,0.7999999999999999,0.75,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,32,7.0,10,64,0.001,,10
CNN,0.7130647130647131,0.7142857142857143,0.7162698412698413,0.7142857142857143,0.8571428571428571,0.5714285714285714,0.625,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.6153846153846153,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,100,7.0,10,64,0.001,,10
CNN,0.48153806977336394,0.4761904761904762,0.5261904761904762,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.4,0.75,0.42857142857142855,0.47058823529411764,0.5454545454545454,0.42857142857142855,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,11,7.0,10,64,0.001,,10
CNN,0.35348583877995643,0.38095238095238093,0.40740740740740744,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.2222222222222222,0.5,0.5,0.25,0.588235294117647,0.22222222222222224,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]","[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",FW,FW,1,64,7.0,10,64,0.001,,10
LSTM,0.46551724137931033,0.46520146520146516,0.4791666666666667,0.42857142857142855,0.42857142857142855,0.5384615384615384,0.4,0.6,0.4375,0.41379310344827586,0.5,0.4827586206896552,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,32,6.25,10,64,0.001,,17
LSTM,0.5859222091740507,0.6153846153846154,0.6634920634920635,0.2857142857142857,0.8461538461538461,0.7142857142857143,0.8,0.5238095238095238,0.6666666666666666,0.42105263157894735,0.6470588235294118,0.6896551724137931,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,100,6.25,10,64,0.001,,17
LSTM,0.41282051282051285,0.44505494505494503,0.6388888888888888,0.6923076923076923,0.14285714285714285,0.5,0.3333333333333333,1.0,0.5833333333333334,0.45,0.25,0.5384615384615384,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,42,6.25,10,64,0.001,,17
LSTM,0.4783941362652007,0.4835164835164836,0.4791666666666667,0.3076923076923077,0.6428571428571429,0.5,0.4,0.6,0.4375,0.34782608695652173,0.6206896551724138,0.4666666666666667,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,12,6.25,10,64,0.001,,17
LSTM,0.506896551724138,0.5164835164835165,0.5056818181818182,0.35714285714285715,0.5,0.6923076923076923,0.45454545454545453,0.5,0.5625,0.4,0.5,0.6206896551724138,"[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]","[3, 5, 6, 7, 8, 10, 12, 20, 23, 24, 25]",LW,LW,3,52,6.25,10,64,0.001,,17
