Classifier,Macro F1,Macro Recall,Macro Precision,Class0 Recall,Class1 Recall,Class2 Recall,Class0 Precision,Class1 Precision,Class2 Precision,Class0 F1,Class1 F1,Class2 F1,TrainParticipants,TestParticipants,TrainConditions,TestConditions,Experiment,RandomState,WindowDuration,WindowStepSize,BatchSize,LearningRate,HiddenDim,Epochs
CNN,0.4524533217542336,0.5385281385281385,0.6934782608695653,0.9818181818181818,,0.09523809523809523,0.5869565217391305,,0.8,0.7346938775510203,,0.1702127659574468,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",02,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.19597069597069597,0.3385416666666667,0.46204620462046203,0.015625,0.0,1.0,1.0,0.0,0.38613861386138615,0.03076923076923077,0.0,0.5571428571428572,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",05,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.2241186970102633,0.27576327334586803,0.3362007168458781,0.0821917808219178,0.0,0.7450980392156863,0.6,0.0,0.40860215053763443,0.14457831325301204,0.0,0.5277777777777778,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",07,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.20114942528735633,0.2536231884057971,0.16666666666666666,0.0,0.0,0.7608695652173914,0.0,0.0,0.5,0.0,0.0,0.603448275862069,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",08,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.09547325102880659,0.05435540069686411,0.4090909090909091,0.11428571428571428,0.0,0.04878048780487805,0.7272727272727273,0.0,0.5,0.19753086419753085,0.0,0.08888888888888888,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",09,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.3684210526315789,0.49,0.29518072289156627,0.98,,0.0,0.5903614457831325,,0.0,0.7368421052631579,,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",11,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.04713804713804714,0.3333333333333333,0.025362318840579712,0.0,0.0,1.0,0.0,0.0,0.07608695652173914,0.0,0.0,0.1414141414141414,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",13,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.020833333333333332,0.3333333333333333,0.01075268817204301,0.0,1.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0625,0.0,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",14,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.5,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",15,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.3535081270930327,0.3749315818281336,0.35694444444444445,0.6724137931034483,0.2857142857142857,0.16666666666666666,0.8125,0.13333333333333333,0.125,0.7358490566037735,0.18181818181818182,0.14285714285714288,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",18,FW,FW,1,42,7.0,10,64,0.001,,13
CNN,0.269066366704162,0.29894179894179895,0.2904761904761905,0.6111111111111112,0.0,0.2857142857142857,0.8,0.0,0.07142857142857142,0.6929133858267716,0.0,0.1142857142857143,"[2, 5, 7, 8, 9, 11, 13, 14, 15, 18, 19, 20, 21, 23]",19,FW,FW,1,42,7.0,10,64,0.001,,13
